Id,Last Update,Issue,Rider Id,Is Flex,Rider Status,Request Id,Ride type,Number Of Passengers,Ride Cost,Pricing Scheme Id,Van Id,Accepted,Pickup ETA,Dropoff ETA,Pickup Walk Duration,Internal Pickup ETA,External Pickup ETA,ETA Diff,Pricing Distance,Rider Trip Api Id
441443,10/01/2019 06:18:23,1569921502.42,47796,False,None,632952,,1,860,2219,43,False,1569922189.46,1569923189.0,170,1569922189.46,1569922189.46,None,4.23 miles,
441442,10/01/2019 06:18:20,1569921498.43,13505,False,,632950,,1,670,2219,32,False,1569922126.71,1569923284.45,100,1569922126.71,1569922126.71,None,3.25 miles,
441441,10/01/2019 06:17:43,1569921461.56,40495,False,,632949,,1,860,2219,43,False,1569921833.33,1569923012.54,216,1569921833.33,1569921833.33,None,4.02 miles,
441440,10/01/2019 06:17:46,1569921458.65,49761,False,,632948,,1,520,2219,33,True,1569921938.38,1569922629.43,92,1569921938.38,1569921938.38,None,2.67 miles,
441439,10/01/2019 06:17:36,1569921449.88,30677,False,,632947,,1,670,2219,28,True,1569922080.36,1569923391.78,197,1569922080.36,1569922080.36,None,3.11 miles,
441438,10/01/2019 06:17:31,1569921448.77,49761,False,,632946,,1,520,2219,33,False,1569921928.18,1569922619.23,92,1569921928.18,1569921928.18,None,2.67 miles,
441437,10/01/2019 06:16:58,1569921409.19,43403,False,,632945,,1,670,2219,50,True,1569921763.4,1569922836.39,27,1569921763.4,1569921763.4,None,3.45 miles,
441436,10/01/2019 06:16:48,1569921405.99,49263,False,,632944,,1,940,2219,57,False,1569922055.74,1569923505.02,174,1569922055.74,1569922055.74,None,4.77 miles,
441435,10/01/2019 06:16:54,1569921403.52,48182,False,,632943,,1,670,2219,57,True,1569921856.65,1569922953.37,168,1569921856.65,1569921856.65,None,3.68 miles,
441434,10/01/2019 06:16:37,1569921395.72,41638,False,,632942,,1,520,2219,54,False,1569921621.72,1569922506.0,226,1569921621.72,1569921621.72,None,2.74 miles,
441433,10/01/2019 06:16:40,1569921393.29,14497,False,,632941,,1,520,2219,26,True,1569921882.46,1569922755.44,19,1569921882.46,1569921882.46,None,2.65 miles,
441432,10/01/2019 06:16:24,1569921383.16,51804,False,,632940,,1,520,2219,54,False,1569921577.52,1569922467.45,91,1569921577.52,1569921577.52,None,3.07 miles,
441431,10/01/2019 06:16:18,1569921376.39,53536,False,None,632938,,1,940,2219,33,True,1569921678.1,1569923418.92,215,1569921678.1,1569921678.1,None,4.87 miles,
441430,10/01/2019 06:16:28,1569921374.58,51560,False,,632939,,1,520,2219,29,True,1569921856.41,1569922788.15,121,1569921856.41,1569921856.41,None,2.7 miles,
441429,10/01/2019 06:16:16,1569921368.2,53536,False,None,632938,,1,940,2219,57,False,1569921624.71,1569923365.53,215,1569921624.71,1569921624.71,None,4.87 miles,
441428,10/01/2019 06:16:07,1569921365.6,1975,False,,632937,,1,670,2219,26,False,1569921716.42,1569922899.02,177,1569921716.42,1569921716.42,None,3.51 miles,
441427,10/01/2019 06:15:59,1569921357.17,41638,False,,632936,,1,520,2219,54,False,1569921583.17,1569922467.45,226,1569921583.17,1569921583.17,None,2.74 miles,
441426,10/01/2019 06:15:56,1569921354.65,49263,False,,632934,,1,940,2219,33,False,1569921999.88,1569923342.94,143,1569921999.88,1569921999.88,None,4.53 miles,
441425,10/01/2019 06:15:59,1569921354.52,48326,False,,632935,,1,520,2219,27,True,1569921824.43,1569922633.0,215,1569921824.43,1569921824.43,None,2.94 miles,
