Id,Last Update,Issue,Rider Id,Is Flex,Rider Status,Request Id,Ride type,Number Of Passengers,Ride Cost,Pricing Scheme Id,Van Id,Accepted,Pickup ETA,Dropoff ETA,Pickup Walk Duration,Internal Pickup ETA,External Pickup ETA,ETA Diff,Pricing Distance,Rider Trip Api Id
561057,10/31/2019 12:54:54,1572537286.51,53025,False,,823647,,1,520,2218,26,False,1572538053.86,1572539225.86,315,1572538053.86,1572538053.86,None,2.93 miles,
561056,10/31/2019 12:55:03,1572537283.34,41232,False,,823646,,1,430,2218,63,True,1572538054.75,1572538508.75,373,1572538054.75,1572538054.75,None,1.13 miles,
561055,10/31/2019 12:54:50,1572537278.21,29003,False,,823644,,1,470,2218,35,False,1572537663.2,1572538125.2,231,1572537663.2,1572537663.2,None,1.32 miles,
561054,10/31/2019 12:55:01,1572537279.2,52428,False,,823645,,1,500,2218,24,True,1572537898.35,1572538514.35,69,1572537898.35,1572537898.35,None,2.15 miles,
561053,10/31/2019 12:54:43,1572537276.29,22074,False,,823643,,2,570,2218,33,False,1572537533.87,1572538615.87,113,1572537533.87,1572537533.87,None,2.79 miles,
561052,10/31/2019 12:54:40,1572537272.78,59065,False,None,823642,,1,470,2218,55,False,1572538482.93,1572539126.93,43,1572538482.93,1572538482.93,None,1.36 miles,
561051,10/31/2019 12:54:32,1572537265.36,5533,False,,823641,,2,910,2218,25,False,1572537527.36,1572538557.36,262,1572537527.36,1572537527.36,None,4.12 miles,
561050,10/31/2019 12:54:25,1572537257.15,46621,False,,823640,,1,470,2218,24,False,1572538390.2,1572538968.2,74,1572538390.2,1572538390.2,None,1.86 miles,
561049,10/31/2019 12:54:19,1572537249.05,45821,False,,823638,,1,670,2218,25,False,1572537753.79,1572538890.79,175,1572537753.79,1572537753.79,None,3.58 miles,
561048,10/31/2019 12:54:18,1572537249.74,41232,False,,823639,,1,430,2218,63,False,1572538043.19,1572538497.19,266,1572538043.19,1572538043.19,None,1.13 miles,
561047,10/31/2019 12:54:17,1572537246.0,59073,False,None,823637,,1,860,2218,63,False,1572538541.19,1572539643.19,238,1572538541.19,1572538541.19,None,4.01 miles,
561046,10/31/2019 12:54:12,1572537241.92,50633,False,,823636,,1,430,2218,33,False,1572537694.31,1572537864.87,261,1572537694.31,1572537694.31,None,0.75 miles,
561045,10/31/2019 12:54:09,1572537241.13,47389,False,,823634,,1,500,2218,25,False,1572538446.79,1572539726.79,354,1572538446.79,1572538446.79,None,2.42 miles,
561044,10/31/2019 12:54:07,1572537241.25,58622,False,,823635,,1,860,2218,25,False,1572538148.79,1572539148.79,306,1572538148.79,1572538148.79,None,3.77 miles,
561043,10/31/2019 12:53:56,1572537226.96,46621,False,,823633,,1,470,2218,24,False,1572538355.75,1572538933.75,74,1572538355.75,1572538355.75,None,1.86 miles,
561042,10/31/2019 12:53:53,1572537224.99,1855,False,,823631,,1,520,2218,28,False,1572537439.99,1572539155.99,215,1572537439.99,1572537439.99,None,2.89 miles,
561041,10/31/2019 12:53:53,1572537225.27,41232,False,,823632,,1,430,2218,63,False,1572538055.71,1572538509.71,335,1572538055.71,1572538055.71,None,1.13 miles,
