Id,Last Update,Issue,Rider Id,Is Flex,Rider Status,Request Id,Ride type,Number Of Passengers,Ride Cost,Pricing Scheme Id,Van Id,Accepted,Pickup ETA,Dropoff ETA,Pickup Walk Duration,Internal Pickup ETA,External Pickup ETA,ETA Diff,Pricing Distance,Rider Trip Api Id
492057,10/14/2019 13:11:17,1571069475.65,40036,False,,723375,,1,430,2218,46,False,1571069719.09,1571069858.74,185,1571069719.09,1571069719.09,None,0.63 miles,
492056,10/14/2019 13:11:08,1571069464.14,50240,False,,723374,,1,470,2218,55,False,1571070390.81,1571070599.06,160,1571070390.81,1571070390.81,None,1.44 miles,
492055,10/14/2019 13:11:03,1571069458.52,55941,False,None,723373,,1,430,2218,32,False,1571069786.27,1571069953.12,132,1571069786.27,1571069786.27,None,0.61 miles,
492054,10/14/2019 13:11:03,1571069458.02,53103,False,,723372,,1,500,2218,44,False,1571069849.21,1571070388.66,305,1571069849.21,1571069849.21,None,1.91 miles,
492053,10/14/2019 13:10:52,1571069442.15,3979,False,,723371,,1,1140,2218,34,True,1571070443.79,1571072093.44,248,1571070443.79,1571070443.79,None,5.22 miles,
492052,10/14/2019 13:10:32,1571069428.45,46910,False,,723370,,2,520,2218,32,False,1571069615.9,1571070124.3,140,1571069615.9,1571069615.9,None,1.83 miles,
492051,10/14/2019 13:10:28,1571069424.89,14977,False,,723369,,1,500,2218,42,False,1571069982.64,1571070710.69,273,1571069982.64,1571069982.64,None,2.12 miles,
492050,10/14/2019 13:10:01,1571069396.41,43254,False,,723368,,1,500,2218,29,False,1571069795.41,1571070674.12,399,1571069795.41,1571069795.41,None,2.34 miles,
492049,10/14/2019 13:09:52,1571069389.89,5228,False,,723367,,14,2040,2218,45,False,1571069569.89,1571070417.54,50,1571069569.89,1571069569.89,None,3.31 miles,
492048,10/14/2019 13:09:07,1571069344.17,50240,False,,723366,,1,470,2218,38,False,1571069586.6,1571069794.85,160,1571069586.6,1571069586.6,None,1.44 miles,
492047,10/14/2019 13:08:58,1571069326.56,27694,False,,723365,,1,470,2218,31,True,1571069809.33,1571070299.33,67,1571069809.33,1571069809.33,None,1.45 miles,
492046,10/14/2019 13:09:11,1571069323.87,45346,False,,723364,,1,860,2218,34,True,1571069896.62,1571071073.17,353,1571069896.62,1571069896.62,None,3.72 miles,
492045,10/14/2019 13:08:33,1571069309.73,41994,False,,723363,,2,1230,2218,54,False,1571069618.73,1571071646.03,309,1571069618.73,1571069618.73,None,5.64 miles,
492044,10/14/2019 13:08:21,1571069297.26,33,False,None,723362,,1,470,2218,47,False,1571069924.01,1571070393.31,24,1571069924.01,1571069924.01,None,1.52 miles,
492043,10/14/2019 13:08:20,1571069296.18,23124,False,None,723361,,1,670,2218,44,False,1571069635.81,1571071543.28,295,1571069635.81,1571069635.81,None,3.47 miles,
492042,10/14/2019 13:08:07,1571069277.94,41994,False,,723360,,1,1180,2218,54,True,1571069586.94,1571071614.24,309,1571069586.94,1571069586.94,None,5.64 miles,
492041,10/14/2019 13:08:04,1571069276.68,43366,False,,723359,,1,520,2218,55,True,1571070019.71,1571070952.91,34,1571070019.71,1571070019.71,None,2.67 miles,
492040,10/14/2019 13:07:53,1571069268.85,28914,False,,723358,,1,520,2218,23,False,1571070272.45,1571071112.05,275,1571070272.45,1571070272.45,None,2.68 miles,
492039,10/14/2019 13:07:50,1571069267.53,35970,False,,723357,,1,470,2218,47,False,1571069550.43,1571070016.28,170,1571069550.43,1571069550.43,None,1.38 miles,
492038,10/14/2019 13:07:50,1571069259.01,37371,False,,723356,,1,860,2218,23,True,1571069697.59,1571071194.98,158,1571069697.59,1571069697.59,None,3.86 miles,
492037,10/14/2019 13:07:33,1571069250.09,45346,False,,723355,,1,860,2218,55,False,1571070016.14,1571071201.19,354,1571070016.14,1571070016.14,None,3.83 miles,
492036,10/14/2019 13:07:32,1571069239.02,3427,False,,723354,,1,250,2218,46,True,1571069524.22,1571069770.42,30,1571069524.22,1571069524.22,None,0.48 miles,
492035,10/14/2019 13:07:21,1571069237.59,53103,False,,723353,,1,500,2218,44,False,1571069841.12,1571070380.57,291,1571069841.12,1571069841.12,None,1.91 miles,
492034,10/14/2019 13:07:28,1571069231.65,28545,False,,723351,,9,1240,2218,51,True,1571069517.29,1571070484.54,19,1571069517.29,1571069517.29,None,2.68 miles,
492033,10/14/2019 13:07:15,1571069231.66,21923,False,,723352,,1,520,2218,54,False,1571069700.12,1571070823.52,92,1571069700.12,1571069700.12,None,2.85 miles,
