Id,Last Update,Issue,Rider Id,Is Flex,Rider Status,Request Id,Ride type,Number Of Passengers,Ride Cost,Pricing Scheme Id,Van Id,Accepted,Pickup ETA,Dropoff ETA,Pickup Walk Duration,Internal Pickup ETA,External Pickup ETA,ETA Diff,Pricing Distance,Rider Trip Api Id
444057,10/01/2019 14:28:12,1569950890.78,20267,False,,637146,,1,470,2218,32,False,1569951892.6,1569952518.3,160,1569951892.6,1569951892.6,None,1.63 miles,
444056,10/01/2019 14:28:09,1569950887.92,7355,False,,637144,,1,500,2218,41,False,1569951543.76,1569952392.56,114,1569951543.76,1569951543.76,None,2.1 miles,
444055,10/01/2019 14:28:16,1569950888.03,52029,False,None,637145,,1,520,2218,24,True,1569951165.18,1569952286.53,133,1569951165.18,1569951165.18,None,2.93 miles,
444054,10/01/2019 14:28:14,1569950881.01,11527,False,,637143,,1,500,2218,47,True,1569951916.67,1569952895.87,188,1569951916.67,1569951916.67,None,1.99 miles,
444053,10/01/2019 14:28:09,1569950868.98,6951,False,,637142,,1,470,2218,56,True,1569951125.27,1569952044.37,124,1569951125.27,1569951125.27,None,1.7 miles,
444052,10/01/2019 14:27:17,1569950822.93,47268,False,,637140,,1,500,2218,38,True,1569951179.05,1569952431.95,203,1569951179.05,1569951179.05,None,2.21 miles,
444051,10/01/2019 14:26:52,1569950805.11,52274,False,None,637139,,1,670,2218,51,True,1569951735.32,1569952908.87,149,1569951735.32,1569951735.32,None,3.39 miles,
444050,10/01/2019 14:25:54,1569950745.05,36867,False,,637137,,2,550,2218,30,True,1569951014.54,1569951852.99,32,1569951014.54,1569951014.54,None,2.4 miles,
444049,10/01/2019 14:25:39,1569950737.13,33,False,None,637136,,1,470,2218,25,False,1569951406.35,1569952091.15,60,1569951406.35,1569951406.35,None,1.52 miles,
444048,10/01/2019 14:25:41,1569950718.09,29803,False,,637135,,1,520,2218,29,True,1569950969.86,1569952231.51,66,1569950969.86,1569950969.86,None,3.05 miles,
444047,10/01/2019 14:25:10,1569950698.02,52612,False,,637134,,1,670,2218,43,True,1569951250.23,1569952316.38,53,1569951250.23,1569951250.23,None,3.67 miles,
444046,10/01/2019 14:24:35,1569950668.82,37187,False,,637133,,1,500,2218,48,True,1569950964.37,1569951864.92,112,1569950964.37,1569950964.37,None,2.03 miles,
444045,10/01/2019 14:24:14,1569950643.37,36867,False,,637132,,2,720,2218,30,True,1569951062.87,1569952085.32,134,1569951062.87,1569951062.87,None,3.18 miles,
444044,10/01/2019 14:24:01,1569950626.85,20874,False,,637131,,1,860,2218,23,True,1569951304.4,1569952260.15,213,1569951304.4,1569951304.4,None,4.15 miles,
444043,10/01/2019 14:23:35,1569950613.02,50476,False,,637130,,2,550,2218,25,False,1569951219.0,1569952408.65,42,1569951219.0,1569951219.0,None,2.14 miles,
444042,10/01/2019 14:23:16,1569950594.58,53257,False,None,637129,,1,860,2218,48,False,1569951164.98,1569952537.03,114,1569951164.98,1569951164.98,None,4.02 miles,
444041,10/01/2019 14:23:20,1569950590.69,33229,False,,637128,,1,430,2218,36,True,1569951376.03,1569952058.53,64,1569951376.03,1569951376.03,None,1.09 miles,
444040,10/01/2019 14:23:01,1569950559.65,40399,False,,637127,,1,860,2218,30,True,1569951259.2,1569952523.15,89,1569951259.2,1569951259.2,None,4.28 miles,
444039,10/01/2019 14:22:33,1569950551.71,17864,False,,637126,,1,430,2218,30,False,1569951122.35,1569951599.7,28,1569951122.35,1569951122.35,None,0.94 miles,
