Id,Live,Status,Tip,Ride type,Rider Id,Rider Status,Request Id,Request time,# pax,Proposal Id,Driver Id,Van Id,Ride Cost,Pricing Scheme Id,Accepted,Paid Amount,Profile,Finance Links,Ride Payment Status,Proposed pickup,Proposed ETA,Original Pickup (before reassignment),I'm Here vs. Proposal,SMS vs. I'm Here,Pickup time,Dropoff,Cancelled,Description,Driver Error,City
168484,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=168484">Feedback: 5</a>,R$0,,5251,,772583,10/22/2019 09:39:30,1,525205,17,35,500,2218,1571747978.14,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168483,False,Finished,R$0,,14497,,772581,10/22/2019 09:39:19,1,525204,43,47,670,2218,1571747969.53,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168482,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=168482">Feedback: 5</a>,R$0,,28670,,772578,10/22/2019 09:38:00,1,525201,124,55,860,2218,1571747884.21,R$8.60,No Profile Detected,None,Paid (Direct Payment),None,,None,None,None,None,None,None,None,None,GYN
168481,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=168481">Feedback: 5</a>,R$0,,34414,,772574,10/22/2019 09:36:05,1,525197,38,56,430,2218,1571747776.66,R$4.30,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168480,False,Reassigned,R$0,,54186,,772572,10/22/2019 09:35:13,1,525195,73,29,0,2218,1571747721.57,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571748005.15,None,None,GYN
168479,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=168479">Feedback: 5</a>,R$0,,7783,,772570,10/22/2019 09:33:56,1,525194,78,41,520,2218,1571747648.1,R$5.20,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168478,False,Finished,R$0,,49757,,772569,10/22/2019 09:33:27,1,525193,91,32,670,2218,1571747628.98,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168477,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=168477">Feedback: 5</a>,R$0,,29348,,772567,10/22/2019 09:32:06,1,525190,100,62,940,2218,1571747534.38,R$9.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168476,False,Finished,R$0,,46440,,772564,10/22/2019 09:31:55,1,525188,54,34,1180,2218,1571747527.12,R$11.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168475,False,Finished,R$0,,53715,,772565,10/22/2019 09:32:00,1,525189,18,53,500,2218,1571747524.32,R$5,No Profile Detected,None,Paid (Direct Payment),None,,None,None,None,None,None,None,None,None,GYN
168474,False,Reassigned,R$0,,28670,,772560,10/22/2019 09:31:16,1,525184,73,29,0,2218,1571747500.86,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571747884.28,None,None,GYN
168473,False,Canceled by rider,R$0,,35022,,772559,10/22/2019 09:30:53,1,525183,91,32,0,2218,1571747463.26,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571747574.95,None,None,GYN
168472,False,Finished,R$0,,9083,,772558,10/22/2019 09:30:40,1,525182,81,31,670,2218,1571747452.79,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168471,False,Reassigned,R$0,,53715,,772557,10/22/2019 09:28:53,1,525181,89,61,0,2218,1571747344.14,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571747524.4,None,None,GYN
168470,False,Canceled by rider,R$0,,51654,,772554,10/22/2019 09:28:16,1,525179,77,54,0,2218,1571747302.8,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571747311.08,None,None,GYN
168469,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=168469">Feedback: 5</a>,R$0,,4029,,772552,10/22/2019 09:26:57,1,525177,37,49,670,2218,1571747226.8,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168468,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=168468">Feedback: 5</a>,R$0,,39984,,772551,10/22/2019 09:26:19,1,525176,21,57,940,2218,1571747192.63,R$9.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168467,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=168467">Feedback: 5</a>,R$0,,37897,,772548,10/22/2019 09:24:58,1,525173,118,26,670,2218,1571747105.43,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168466,False,Finished,R$0,,21072,,772545,10/22/2019 09:24:22,1,525170,24,36,670,2218,1571747077.57,R$6.70,No Profile Detected,None,Paid (Credits),None,,,None,,None,None,None,None,None,GYN
168465,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=168465">Feedback: 5</a>,R$0,,40502,,772544,10/22/2019 09:24:20,1,525169,37,49,940,2218,1571747076.33,R$9.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168464,False,Finished,R$0,,51444,,772542,10/22/2019 09:24:03,5,525167,27,48,720,2218,1571747058.75,R$7.20,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168463,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=168463">Feedback: 5</a>,R$0,,56786,None,772541,10/22/2019 09:23:55,1,525166,78,41,470,2218,1571747043.08,R$4.70,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
168462,False,Finished,R$0,,13460,,772537,10/22/2019 09:22:10,1,525162,54,34,520,2218,1571746943.09,R$5.20,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168461,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=168461">Feedback: 1</a>,R$0,,3039,,772536,10/22/2019 09:22:04,1,525161,67,23,670,2218,1571746932.92,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168460,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=168460">Feedback: 5</a>,R$0,,49960,,772525,10/22/2019 09:20:10,1,525157,111,28,470,2218,1571746842.6,R$4.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168459,False,Canceled by rider,R$0,,49960,,772513,10/22/2019 09:18:54,1,525152,111,28,0,2218,1571746766.98,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571746796.96,None,None,GYN
168458,False,Finished,R$0,,49047,,772510,10/22/2019 09:18:35,1,525151,122,52,860,2218,1571746728.24,R$8.60,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168457,False,Canceled by rider,R$0,,48366,,772508,10/22/2019 09:18:10,1,525150,43,47,0,2218,1571746699.19,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571746728.99,None,None,GYN
168456,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=168456">Feedback: 5</a>,R$0,,29374,,772501,10/22/2019 09:17:04,1,525147,71,43,520,2218,1571746632.32,R$5.20,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168455,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=168455">Feedback: 5</a>,R$0,,57444,None,772500,10/22/2019 09:16:44,1,525146,92,50,1200,2218,1571746618.63,R$12,No Profile Detected,None,Paid (Direct Payment and Credits),None,,,None,None,None,None,None,None,None,GYN
168454,False,Finished,R$0,,21018,,772497,10/22/2019 09:15:57,1,525143,24,36,670,2218,1571746587.4,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168453,False,Finished,R$0,,25509,,772495,10/22/2019 09:15:41,1,525141,77,54,860,2218,1571746551.71,R$8.60,No Profile Detected,None,Paid (Direct Payment and Credits),None,,,None,None,None,None,None,None,None,GYN
168452,False,Finished,R$0,,56788,,772493,10/22/2019 09:13:56,1,525139,92,50,1140,2218,1571746450.29,R$11.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
168451,False,Finished,R$0,,38134,,772486,10/22/2019 09:09:10,1,525132,21,57,520,2218,1571746157.89,R$5.20,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
168450,False,Canceled by rider,R$0,,44104,,772485,10/22/2019 09:08:54,1,525131,80,51,0,2218,1571746155.19,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571746171.82,None,None,GYN
