Id,Live,Status,Tip,Ride type,Rider Id,Rider Status,Request Id,Request time,# pax,Proposal Id,Driver Id,Van Id,Ride Cost,Pricing Scheme Id,Accepted,Paid Amount,Profile,Finance Links,Ride Payment Status,Proposed pickup,Proposed ETA,Original Pickup (before reassignment),I'm Here vs. Proposal,SMS vs. I'm Here,Pickup time,Dropoff,Cancelled,Description,Driver Error,City
153484,False,Finished,R$0,,29955,,712739,10/11/2019 14:05:52,1,485318,87,30,860,2218,1570813573.9,R$8.60,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153483,False,Finished,R$0,,5494,,712733,10/11/2019 14:04:06,1,485312,70,51,500,2218,1570813454.97,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153482,False,Finished,R$0,,11586,,712729,10/11/2019 14:03:28,1,485308,116,27,470,2218,1570813417.69,R$4.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153481,False,Canceled by rider,R$0,,54703,,712730,10/11/2019 14:03:29,1,485309,111,28,0,2218,1570813416.87,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570813549.57,None,None,GYN
153480,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153480">Feedback: 5</a>,R$0,,50494,,712728,10/11/2019 14:03:23,1,485307,135,52,670,2218,1570813415.77,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153479,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153479">Feedback: 5</a>,R$0,,21771,,712725,10/11/2019 14:02:50,1,485305,38,56,520,2218,1570813383.05,R$5.20,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153478,False,Finished,R$0,,50216,,712724,10/11/2019 14:02:19,1,485304,136,49,500,2218,1570813359.38,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153477,False,Finished,R$0,,5946,,712723,10/11/2019 14:02:17,1,485303,17,35,470,2218,1570813347.77,R$4.70,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
153476,False,Finished,R$0,,18496,None,712721,10/11/2019 14:02:00,1,485301,131,24,1230,2218,1570813324.79,R$12.30,No Profile Detected,None,Paid (Direct Payment and Credits),None,,None,None,None,None,None,None,None,None,GYN
153475,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153475">Feedback: 5</a>,R$0,,55261,,712720,10/11/2019 14:01:46,1,485300,122,25,500,2218,1570813319.48,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153474,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153474">Feedback: 5</a>,R$0,,23941,,712715,10/11/2019 14:01:16,1,485297,134,32,670,2218,1570813287.27,R$6.70,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
153473,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153473">Feedback: 5</a>,R$0,,10712,,712714,10/11/2019 14:01:10,1,485296,20,59,500,2218,1570813277.94,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153472,False,Finished,R$0,,8965,,712709,10/11/2019 13:59:54,1,485291,20,59,860,2218,1570813206.37,R$8.60,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153471,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153471">Feedback: 5</a>,R$0,,46140,None,712707,10/11/2019 13:59:29,4,485289,67,34,620,2218,1570813190.04,R$6.20,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
153470,False,Canceled by rider,R$0,,49782,,712701,10/11/2019 13:58:52,1,485284,87,30,0,2218,1570813149.28,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570813448.11,None,None,GYN
153469,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153469">Feedback: 5</a>,R$0,,37799,,712700,10/11/2019 13:58:49,1,485283,134,32,430,2218,1570813140.25,R$4.30,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153468,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153468">Feedback: 5</a>,R$0,,55293,,712694,10/11/2019 13:58:13,1,485277,89,55,860,2218,1570813105.0,R$8.60,No Profile Detected,None,Paid (Direct Payment and Credits),None,,,None,None,None,None,None,None,None,GYN
153467,False,Finished,R$0,,51572,,712692,10/11/2019 13:57:45,1,485275,18,53,500,2218,1570813085.75,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153466,False,Canceled by rider,R$0,,37799,,712690,10/11/2019 13:57:23,1,485273,116,27,0,2218,1570813075.66,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570813119.18,None,None,GYN
153465,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153465">Feedback: 5</a>,R$0,,52669,,712688,10/11/2019 13:57:08,1,485272,54,23,520,2218,1570813043.1,R$5.20,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153464,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153464">Feedback: 5</a>,R$0,,8388,,712682,10/11/2019 13:56:19,1,485266,54,23,500,2218,1570812994.6,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153463,False,Finished,R$0,,41307,,712678,10/11/2019 13:55:35,1,485265,21,57,860,2218,1570812973.12,R$8.60,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153462,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153462">Feedback: 5</a>,R$0,,55552,None,712675,10/11/2019 13:55:21,1,485260,30,45,500,2218,1570812937.45,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153461,False,Finished,R$0,,53755,,712670,10/11/2019 13:55:06,1,485256,17,35,470,2218,1570812917.88,R$4.70,No Profile Detected,None,Paid (Direct Payment and Credits),None,,,None,None,None,None,None,None,None,GYN
153460,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153460">Feedback: 5</a>,R$0,,46995,,712668,10/11/2019 13:54:55,2,485255,21,57,520,2218,1570812908.24,R$5.20,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
153459,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153459">Feedback: 2</a>,R$0,,43813,,712665,10/11/2019 13:54:48,1,485253,15,62,500,2218,1570812903.57,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,,None,None,None,None,None,GYN
153458,False,Canceled by rider,R$0,,46995,,712663,10/11/2019 13:54:15,1,485252,21,57,0,2218,1570812871.69,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570812877.26,None,None,GYN
153457,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153457">Feedback: 5</a>,R$0,,54809,,712660,10/11/2019 13:54:07,1,485249,18,53,500,2218,1570812857.73,R$5,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
153456,False,No show,R$0,,28964,,712658,10/11/2019 13:53:52,1,485247,87,30,0,2218,1570812845.45,R$0,No Profile Detected,None,Free,None,,,None,None,None,None,None,None,None,GYN
153455,False,Finished,R$0,,52300,,712652,10/11/2019 13:51:54,1,485241,38,56,1140,2218,1570812730.95,R$11.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153454,False,Reassigned,R$0,,18496,None,712650,10/11/2019 13:51:00,1,485239,70,51,0,2218,1570812676.98,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570813324.88,None,None,GYN
153453,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153453">Feedback: 5</a>,R$0,,50834,,712644,10/11/2019 13:50:08,1,485233,71,43,520,2218,1570812621.87,R$5.20,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153452,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153452">Feedback: 5</a>,R$0,,43458,,712642,10/11/2019 13:50:01,1,485231,41,60,500,2218,1570812610.93,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153451,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153451">Feedback: 5</a>,R$0,,51444,,712643,10/11/2019 13:50:02,5,485232,66,33,1060,2218,1570812608.0,R$10.60,No Profile Detected,None,Paid (Direct Payment),None,,None,None,None,None,None,None,None,None,GYN
153450,False,Finished,R$0,,53680,None,712639,10/11/2019 13:49:16,1,485229,30,45,670,2218,1570812565.29,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153449,False,Finished,R$0,,53904,,712635,10/11/2019 13:47:48,1,485225,135,52,520,2218,1570812479.36,R$5.20,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153448,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153448">Feedback: 5</a>,R$0,,51321,,712631,10/11/2019 13:47:27,1,485221,131,24,860,2218,1570812464.63,R$8.60,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153447,False,Finished,R$0,,5035,,712632,10/11/2019 13:47:30,1,485222,71,43,1180,2218,1570812462.87,R$11.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153446,False,Finished,R$0,,46930,,712630,10/11/2019 13:46:53,1,485220,27,48,860,2218,1570812426.65,R$8.60,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153445,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153445">Feedback: 3</a>,R$0,,52237,,712626,10/11/2019 13:46:17,2,485216,20,59,520,2218,1570812413.81,R$5.20,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153444,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153444">Feedback: 4</a>,R$0,,37379,,712628,10/11/2019 13:46:28,1,485218,122,25,500,2218,1570812404.19,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153443,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153443">Feedback: 5</a>,R$0,,8303,,712627,10/11/2019 13:46:18,1,485217,133,50,670,2218,1570812386.96,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153442,False,Canceled by rider,R$0,,51572,,712622,10/11/2019 13:45:35,1,485213,87,30,0,2218,1570812350.92,R$0,No Profile Detected,None,Free,None,,,None,None,None,None,1570813059.74,None,None,GYN
153441,False,Canceled by rider,R$0,,53904,,712621,10/11/2019 13:45:13,1,485210,135,52,0,2218,1570812346.33,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570812458.94,None,None,GYN
153440,False,Canceled by rider,R$0,,55293,,712616,10/11/2019 13:44:39,1,485205,18,53,0,2218,1570812293.2,R$0,No Profile Detected,None,Free,None,,,None,None,None,None,1570812690.54,None,None,GYN
153439,False,Finished,R$0,,4833,,712608,10/11/2019 13:43:31,1,485197,89,55,520,2218,1570812229.26,R$5.20,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153438,False,Finished,R$0,,41774,,712606,10/11/2019 13:43:22,1,485195,35,42,520,2218,1570812229.03,R$5.20,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153437,False,Finished,R$0,,10545,,712604,10/11/2019 13:42:33,1,485193,116,27,860,2218,1570812162.12,R$8.60,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153436,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153436">Feedback: 5</a>,R$0,,46754,,712600,10/11/2019 13:41:48,1,485189,122,25,500,2218,1570812119.95,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153435,False,Finished,R$0,,51677,,712599,10/11/2019 13:41:03,2,485188,38,56,1280,2218,1570812078.24,R$12.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153434,False,Canceled by rider,R$0,,53904,,712598,10/11/2019 13:40:51,1,485187,66,33,0,2218,1570812070.32,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570812099.45,None,None,GYN
153433,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153433">Feedback: 5</a>,R$0,,45022,,712597,10/11/2019 13:40:49,1,485186,15,62,250,2218,1570812060.95,R$2.50,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
153432,False,Finished,R$0,,11418,,712593,10/11/2019 13:40:07,1,485182,55,46,430,2218,1570812018.74,R$4.30,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153431,False,Finished,R$0,,7154,,712591,10/11/2019 13:39:57,1,485181,27,48,670,2218,1570812015.22,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153430,False,Finished,R$0,,51454,,712590,10/11/2019 13:39:42,1,485180,71,43,670,2218,1570811998.67,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153429,False,Canceled by rider,R$0,,32356,,712579,10/11/2019 13:38:29,1,485169,89,55,0,2218,1570811929.41,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570811949.12,None,None,GYN
153428,False,Finished,R$0,,31178,,712576,10/11/2019 13:37:55,1,485166,35,42,500,2218,1570811887.12,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153427,False,Finished,R$0,,31234,,712570,10/11/2019 13:37:19,1,485160,70,51,500,2218,1570811870.25,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153426,False,Finished,R$0,,55461,None,712571,10/11/2019 13:37:29,1,485161,111,28,1140,2218,1570811860.37,R$11.40,No Profile Detected,None,Paid (Direct Payment and Credits),None,,,None,None,None,None,None,None,None,GYN
153425,False,Reassigned,R$0,,51444,,712568,10/11/2019 13:37:14,5,485159,81,31,0,2218,1570811847.34,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570812608.08,None,None,GYN
153424,False,Finished,R$0,,1090,,712566,10/11/2019 13:36:47,14,485157,78,58,1840,2218,1570811830.8,R$18.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153423,False,Finished,R$0,,40898,,712558,10/11/2019 13:34:48,1,485148,38,56,520,2218,1570811702.57,R$5.20,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
153422,False,Finished,R$0,,20469,,712557,10/11/2019 13:34:47,1,485149,71,43,470,2218,1570811699.47,R$4.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153421,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153421">Feedback: 5</a>,R$0,,4742,,712552,10/11/2019 13:33:20,1,485143,136,49,670,2218,1570811614.0,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153420,False,Finished,R$0,,51460,,712551,10/11/2019 13:33:18,1,485142,20,59,940,2218,1570811612.19,R$9.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153419,False,Canceled by rider,R$0,,44697,,712545,10/11/2019 13:32:12,1,485139,133,50,0,2218,1570811572.29,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570811607.7,None,None,GYN
153418,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153418">Feedback: 5</a>,R$0,,48435,,712541,10/11/2019 13:31:29,1,485131,137,54,670,2218,1570811516.86,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153417,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153417">Feedback: 5</a>,R$0,,12875,,712542,10/11/2019 13:31:38,1,485132,131,24,430,2218,1570811512.02,R$4.30,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153416,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153416">Feedback: 5</a>,R$0,,47472,,712540,10/11/2019 13:31:13,1,485130,137,54,430,2218,1570811485.79,R$4.30,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
153415,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=153415">Feedback: 5</a>,R$0,,46995,,712539,10/11/2019 13:31:09,1,485129,76,44,430,2218,1570811478.39,R$4.30,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
153414,False,Canceled by rider,R$0,,47868,,712535,10/11/2019 13:30:34,1,485125,116,27,0,2218,1570811445.05,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570811483.93,None,None,GYN
153413,False,Finished,R$0,,36872,,712534,10/11/2019 13:30:17,1,485124,125,61,670,2218,1570811443.41,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
