Id,Live,Status,Tip,Ride type,Rider Id,Rider Status,Request Id,Request time,# pax,Proposal Id,Driver Id,Van Id,Ride Cost,Pricing Scheme Id,Accepted,Paid Amount,Profile,Finance Links,Ride Payment Status,Proposed pickup,Proposed ETA,Original Pickup (before reassignment),I'm Here vs. Proposal,SMS vs. I'm Here,Pickup time,Dropoff,Cancelled,Description,Driver Error,City
163684,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=163684">Feedback: 5</a>,R$0,,24813,,753267,10/18/2019 12:05:51,1,512574,54,23,670,2218,1571411161.91,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
163683,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=163683">Feedback: 5</a>,R$0,,1570,,753262,10/18/2019 12:05:25,1,512570,131,24,520,2218,1571411144.11,R$5.20,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
163682,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=163682">Feedback: 5</a>,R$0,,7153,,753261,10/18/2019 12:05:15,1,512568,15,63,500,2218,1571411122.76,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
163681,False,Canceled by rider,R$0,,51627,,753258,10/18/2019 12:04:56,1,512566,20,38,0,2218,1571411112.13,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571411134.85,None,None,GYN
163680,False,Finished,R$0,,51346,,753259,10/18/2019 12:05:00,1,512567,24,36,670,2218,1571411107.61,R$6.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,,None,None,None,None,None,GYN
163679,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=163679">Feedback: 5</a>,R$0,,18360,,753256,10/18/2019 12:04:52,1,512564,27,48,500,2218,1571411103.39,R$5,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
163678,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=163678">Feedback: 5</a>,R$0,,32496,,753250,10/18/2019 12:04:03,2,512558,118,26,570,2218,1571411058.12,R$5.70,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
163677,False,Canceled by rider,R$0,,30026,,753247,10/18/2019 12:03:48,1,512556,23,52,0,2218,1571411046.1,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571411136.6,None,None,GYN
163676,False,Finished,R$0,,56789,None,753246,10/18/2019 12:03:47,1,512555,18,53,670,2218,1571411040.69,R$6.70,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
163675,False,Canceled by rider,R$0,,8542,,753243,10/18/2019 12:03:17,1,512552,43,47,0,2218,1571411023.57,R$0,No Profile Detected,None,Free,None,,,,,None,None,1571411045.93,None,None,GYN
