Id,Live,Status,Tip,Ride type,Rider Id,Rider Status,Request Id,Request time,# pax,Proposal Id,Driver Id,Van Id,Ride Cost,Pricing Scheme Id,Accepted,Paid Amount,Profile,Finance Links,Ride Payment Status,Proposed pickup,Proposed ETA,Original Pickup (before reassignment),I'm Here vs. Proposal,SMS vs. I'm Here,Pickup time,Dropoff,Cancelled,Description,Driver Error,City
182884,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=182884">Feedback: 5</a>,R$0,,10148,,826432,10/31/2019 17:18:19,1,562640,120,25,680,2221,1572553116.29,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
182883,False,Finished,R$0,,59132,None,826419,10/31/2019 17:17:54,2,562636,40,28,780,2221,1572553095.73,R$7.80,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
182882,False,Finished,R$0,,31474,,826417,10/31/2019 17:17:47,4,562632,108,38,830,2221,1572553093.24,R$8.30,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
182881,False,Canceled by rider,R$0,,15592,,826413,10/31/2019 17:17:31,1,562628,129,24,0,2221,1572553071.15,R$0,No Profile Detected,None,Free,None,,,,,None,None,1572553109.03,None,None,GYN
182880,False,Canceled by rider,R$0,,53693,None,826397,10/31/2019 17:17:00,1,562629,136,51,0,2221,1572553066.66,R$0,No Profile Detected,None,Free,None,,,,,None,None,1572553203.58,None,None,GYN
182879,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=182879">Feedback: 5</a>,R$0,,10256,,826408,10/31/2019 17:17:25,1,562625,136,51,730,2221,1572553062.05,R$7.30,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
182878,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=182878">Feedback: 5</a>,R$0,,54344,None,826403,10/31/2019 17:17:14,1,562621,134,34,940,2221,1572553056.73,R$9.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
182877,False,Canceled by rider,R$0,,31398,,826404,10/31/2019 17:17:15,1,562622,136,51,0,2221,1572553055.43,R$0,No Profile Detected,None,Free,None,,,,,None,None,1572553239.27,None,None,GYN
182876,False,Finished,R$0,,1436,,826401,10/31/2019 17:17:06,1,562620,79,48,730,2221,1572553045.44,R$7.30,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
182875,False,Finished,R$0,,24091,,826402,10/31/2019 17:17:06,1,562619,79,48,730,2221,1572553041.72,R$7.30,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
182874,False,Finished,R$0,,36976,,826394,10/31/2019 17:16:51,1,562614,105,57,680,2221,1572553029.72,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
182873,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=182873">Feedback: 4</a>,R$0,,54209,,826389,10/31/2019 17:16:36,1,562609,98,45,680,2221,1572553015.9,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
182872,False,Finished,R$0,,51454,,826387,10/31/2019 17:16:25,1,562606,126,56,680,2221,1572553001.09,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
182871,False,Finished,R$0,,54679,,826381,10/31/2019 17:16:10,1,562602,108,38,540,2221,1572552990.85,R$5.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
182870,False,Canceled by rider,R$0,,2338,,826383,10/31/2019 17:16:13,1,562604,128,54,0,2221,1572552984.45,R$0,No Profile Detected,None,Free,None,,,,,None,None,1572554246.46,None,None,GYN
182869,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=182869">Feedback: 5</a>,R$0,,15398,,826379,10/31/2019 17:16:05,1,562601,94,58,680,2221,1572552981.42,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
182868,False,Canceled by rider,R$0,,9897,,826374,10/31/2019 17:15:53,1,562596,114,43,0,2221,1572552968.93,R$0,No Profile Detected,None,Free,None,,,,,None,None,1572552983.8,None,None,GYN
182867,False,Finished,R$0,,589,,826370,10/31/2019 17:15:48,1,562594,53,52,680,2221,1572552967.88,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
182866,False,Finished,R$0,,9735,,826364,10/31/2019 17:15:23,1,562588,127,41,940,2221,1572552957.17,R$9.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
182865,False,Finished,R$0,,25963,,826366,10/31/2019 17:15:26,1,562589,22,47,1140,2221,1572552954.18,R$11.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
182864,False,Finished,R$0,,55715,,826361,10/31/2019 17:15:13,1,562586,135,30,730,2221,1572552938.91,R$7.30,No Profile Detected,None,Paid (Direct Payment and Credits),None,,,None,None,None,None,None,None,None,GYN
182863,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=182863">Feedback: 5</a>,R$0,,233,,826359,10/31/2019 17:15:01,1,562584,121,26,680,2221,1572552919.6,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
182862,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=182862">Feedback: 4</a>,R$0,,29901,,826356,10/31/2019 17:14:46,1,562582,95,61,540,2221,1572552910.1,R$5.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
