Id,Live,Status,Tip,Ride type,Rider Id,Rider Status,Request Id,Request time,# pax,Proposal Id,Driver Id,Van Id,Ride Cost,Pricing Scheme Id,Accepted,Paid Amount,Profile,Finance Links,Ride Payment Status,Proposed pickup,Proposed ETA,Original Pickup (before reassignment),I'm Here vs. Proposal,SMS vs. I'm Here,Pickup time,Dropoff,Cancelled,Description,Driver Error,City
142084,False,Canceled by admin,R$0,,36980,,656132,10/03/2019 18:08:19,1,454569,117,49,0,2222,1570136918.99,R$0,No Profile Detected,None,Free,None,,,None,None,None,None,1570139770.27,None,None,GYN
142083,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=142083">Feedback: 5</a>,R$0,,23405,,656117,10/03/2019 18:07:57,1,454564,117,49,680,2222,1570136893.27,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
142082,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=142082">Feedback: 5</a>,R$0,,54119,None,656095,10/03/2019 18:07:25,1,454562,96,44,730,2222,1570136869.24,R$7.30,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
142081,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=142081">Feedback: 5</a>,R$0,,51171,,656088,10/03/2019 18:07:16,1,454560,128,31,680,2222,1570136851.17,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
142080,False,Finished,R$0,,13419,,656086,10/03/2019 18:07:11,1,454558,109,24,940,2222,1570136847.65,R$9.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
142079,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=142079">Feedback: 5</a>,R$0,,49870,,656078,10/03/2019 18:07:01,1,454556,121,42,540,2222,1570136844.42,R$5.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
142078,False,Canceled by rider,R$0,,10358,,656079,10/03/2019 18:07:03,1,454557,128,31,0,2222,1570136835.32,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570137272.1,None,None,GYN
142077,False,Finished,R$0,,39861,,656064,10/03/2019 18:06:29,1,454552,101,48,940,2222,1570136807.01,R$9.40,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
142076,False,Canceled by rider,R$0,,10358,,656062,10/03/2019 18:06:22,1,454551,96,44,0,2222,1570136799.56,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570136807.54,None,None,GYN
142075,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=142075">Feedback: 5</a>,R$0,,48947,,656054,10/03/2019 18:06:18,1,454547,72,51,730,2222,1570136791.99,R$7.30,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
142074,False,Canceled by rider,R$0,,36469,,656044,10/03/2019 18:05:54,1,454544,34,26,0,2222,1570136768.47,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570136784.12,None,None,GYN
142073,False,Canceled by rider,R$0,,44792,,656008,10/03/2019 18:04:20,1,454539,123,45,0,2222,1570136678.34,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570137892.77,None,None,GYN
142072,False,Canceled by rider,R$0,,48547,,656013,10/03/2019 18:04:27,1,454541,99,46,0,2222,1570136678.03,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570136738.52,None,None,GYN
142071,False,Canceled by rider,R$0,,36469,,656010,10/03/2019 18:04:22,1,454540,131,34,0,2222,1570136677.28,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570136693.7,None,None,GYN
142070,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=142070">Feedback: 5</a>,R$0,,26258,,655997,10/03/2019 18:03:44,2,454535,131,34,990,2222,1570136634.1,R$9.90,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
142069,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=142069">Feedback: 5</a>,R$0,,158,,655993,10/03/2019 18:03:39,1,454533,94,33,680,2222,1570136632.56,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
142068,False,Finished,R$0,,51063,,655987,10/03/2019 18:03:19,4,454531,34,26,1150,2222,1570136624.8,R$11.50,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
142067,False,Finished,R$0,,19251,,655963,10/03/2019 18:02:16,1,454525,72,51,680,2222,1570136547.6,R$6.80,No Profile Detected,None,Paid (Credits),None,,,None,None,None,None,None,None,None,GYN
142066,False,Canceled by rider,R$0,,36469,,655931,10/03/2019 18:01:02,1,454517,131,34,0,2222,1570136482.31,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570136510.92,None,None,GYN
142065,False,Canceled by rider,R$0,,27562,,655925,10/03/2019 18:00:52,1,454515,34,26,0,2222,1570136464.46,R$0,No Profile Detected,None,Free,None,,,,,None,None,1570136856.26,None,None,GYN
142064,False,Finished<br/><a href="/admin/rider/riderfeedback/?flt1_9=142064">Feedback: 4</a>,R$0,,11511,,655922,10/03/2019 18:00:41,1,454514,109,24,680,2222,1570136457.11,R$6.80,No Profile Detected,None,Paid (Direct Payment),None,,,None,None,None,None,None,None,None,GYN
