Whitelist id,Intersection id,Intersection name,Short description,Street,Number,Corner,Place of business,Bearing,Latitude,Longitude,Service id,Service name,Street view
15568,3283, & ,,,,SE,,153.768,-16.739637,-49.284965,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.739637,-49.284965,153.768h,0p,1z"
15583,3289, & ,,,,SW,,161.026,-16.732777,-49.2863,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.732777,-49.2863,161.026h,0p,1z"
15584,3289, & ,,,,SE,,63.4384,-16.732658,-49.286157,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.732658,-49.286157,63.4384h,0p,1z"
15587,3291, & ,,,,SE,,73.3213,-16.719437,-49.278114,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.719437,-49.278114,73.3213h,0p,1z"
15591,3292, & ,,,,NE,,59.7934,-16.733838,-49.267426,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.733838,-49.267426,59.7934h,0p,1z"
15599,3295, & ,,,,NW,,-25.4383,-16.742408,-49.283376,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.742408,-49.283376,-25.4383h,0p,1z"
15601,3297, & ,,,,SE,,123.502,-16.7271,-49.266279,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.7271,-49.266279,123.502h,0p,1z"
15622,3306, & ,,,,SW,,-126.332,-16.727591,-49.286149,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.727591,-49.286149,-126.332h,0p,1z"
15624,3306, & ,,,,NE,,32.2966,-16.727487,-49.28591,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.727487,-49.28591,32.2966h,0p,1z"
15625,3307, & ,,,,SW,,-127.592,-16.740013,-49.287362,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.740013,-49.287362,-127.592h,0p,1z"
15626,3308, & ,,,,NW,,-49.4372,-16.736242,-49.266477,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.736242,-49.266477,-49.4372h,0p,1z"
15627,3309, & ,,,,SE,,124.343,-16.731865,-49.283237,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.731865,-49.283237,124.343h,0p,1z"
15631,3312, & ,,,,SE,,123.623,-16.725199,-49.282231,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.725199,-49.282231,123.623h,0p,1z"
15636,3313, & ,,,,NW,,-100.432,-16.710106,-49.277558,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.710106,-49.277558,-100.432h,0p,1z"
15638,3314, & ,,,,NW,,-56.2099,-16.724683,-49.284221,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.724683,-49.284221,-56.2099h,0p,1z"
15640,3315, & ,,,,SW,,169.614,-16.71838,-49.288255,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.71838,-49.288255,169.614h,0p,1z"
15642,3316, & ,,,,NW,,-101.075,-16.713828,-49.289232,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.713828,-49.289232,-101.075h,0p,1z"
15645,3082, & ,,,,NW,,-57.4764,-16.726406,-49.291483,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.726406,-49.291483,-57.4764h,0p,1z"
15658,3321, & ,,,,SE,,79.5522,-16.718231,-49.279654,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.718231,-49.279654,79.5522h,0p,1z"
15659,3322, & ,,,,SE,,154.68,-16.736962,-49.288535,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.736962,-49.288535,154.68h,0p,1z"
15660,3322, & ,,,,SE,,63.5249,-16.736827,-49.288416,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.736827,-49.288416,63.5249h,0p,1z"
15662,3323, & ,,,,SE,,150.755,-16.735961,-49.274451,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.735961,-49.274451,150.755h,0p,1z"
15663,3323, & ,,,,SW,,-119.484,-16.735859,-49.274575,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.735859,-49.274575,-119.484h,0p,1z"
15666,3324, & ,,,,NE,,-10.2086,-16.711253,-49.284457,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.711253,-49.284457,-10.2086h,0p,1z"
15667,3325, & ,,,,NE,,-11.5779,-16.716021,-49.285149,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.716021,-49.285149,-11.5779h,0p,1z"
15685,3336, & ,,,,NE,,38.3846,-16.743923,-49.285092,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.743923,-49.285092,38.3846h,0p,1z"
15686,3337, & ,,,,NW,,-99.7564,-16.708649,-49.282889,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.708649,-49.282889,-99.7564h,0p,1z"
15689,3339, & ,,,,NE,,47.4301,-16.739058,-49.28589,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.739058,-49.28589,47.4301h,0p,1z"
15698,3342, & ,,,,SE,,122.851,-16.735639,-49.284631,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.735639,-49.284631,122.851h,0p,1z"
15701,3343, & ,,,,NW,,-35.35,-16.706901,-49.277898,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.706901,-49.277898,-35.35h,0p,1z"
15706,3346, & ,,,,SW,,-101.485,-16.711649,-49.286196,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.711649,-49.286196,-101.485h,0p,1z"
15707,3346, & ,,,,SW,,168.7,-16.711772,-49.286094,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.711772,-49.286094,168.7h,0p,1z"
15712,3348, & ,,,,NE,,-9.83787,-16.713437,-49.278994,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.713437,-49.278994,-9.83787h,0p,1z"
15722,3351, & ,,,,SE,,78.894,-16.713218,-49.294303,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.713218,-49.294303,78.894h,0p,1z"
15723,3351, & ,,,,NE,,-11.8384,-16.713059,-49.294423,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.713059,-49.294423,-11.8384h,0p,1z"
15728,3353, & ,,,,NW,,-26.2801,-16.745278,-49.284504,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.745278,-49.284504,-26.2801h,0p,1z"
15735,3356, & ,,,,NE,,32.6841,-16.725383,-49.284485,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.725383,-49.284485,32.6841h,0p,1z"
15738,3357, & ,,,,NE,,-9.93084,-16.712084,-49.280105,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.712084,-49.280105,-9.93084h,0p,1z"
15741,3358, & ,,,,NE,,38.4249,-16.732953,-49.270125,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.732953,-49.270125,38.4249h,0p,1z"
15744,3359, & ,,,,SW,,-100.625,-16.712379,-49.287746,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.712379,-49.287746,-100.625h,0p,1z"
15747,3360, & ,,,,NW,,-81.8419,-16.734366,-49.271391,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.734366,-49.271391,-81.8419h,0p,1z"
15754,3365, & ,,,,SW,,-148.978,-16.710251,-49.293358,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.710251,-49.293358,-148.978h,0p,1z"
15759,3367, & ,,,,SW,,-147.996,-16.727823,-49.284202,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.727823,-49.284202,-147.996h,0p,1z"
15763,3368, & ,,,,SW,,-171.194,-16.736737,-49.270902,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.736737,-49.270902,-171.194h,0p,1z"
15766,3369, & ,,,,NW,,-100.588,-16.713681,-49.279954,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.713681,-49.279954,-100.588h,0p,1z"
15767,3369, & ,,,,SW,,168.583,-16.713814,-49.279869,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.713814,-49.279869,168.583h,0p,1z"
15769,3370, & ,,,,NE,,53.7805,-16.728908,-49.264704,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.728908,-49.264704,53.7805h,0p,1z"
15791,3378, & ,,,,NE,,4.86585,-16.722422,-49.27757,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.722422,-49.27757,4.86585h,0p,1z"
15796,3381, & ,,,,NW,,-99.8281,-16.724886,-49.278288,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.724886,-49.278288,-99.8281h,0p,1z"
15806,3385, & ,,,,NE,,-11.604,-16.71227,-49.290175,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.71227,-49.290175,-11.604h,0p,1z"
15807,3385, & ,,,,SW,,169.357,-16.712517,-49.290219,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.712517,-49.290219,169.357h,0p,1z"
15810,3386, & ,,,,SE,,142.076,-16.710924,-49.2769,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.710924,-49.2769,142.076h,0p,1z"
15812,3387, & ,,,,SE,,64.0297,-16.738635,-49.287535,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.738635,-49.287535,64.0297h,0p,1z"
15816,3388, & ,,,,SE,,170.344,-16.715968,-49.292133,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.715968,-49.292133,170.344h,0p,1z"
15821,3389, & ,,,,SW,,-178.599,-16.720663,-49.279136,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.720663,-49.279136,-178.599h,0p,1z"
15824,3390, & ,,,,NE,,-1.62141,-16.723857,-49.26865,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.723857,-49.26865,-1.62141h,0p,1z"
15829,3393, & ,,,,NW,,-25.934,-16.723287,-49.285535,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.723287,-49.285535,-25.934h,0p,1z"
15830,3394, & ,,,,SW,,168.708,-16.716932,-49.28007,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.716932,-49.28007,168.708h,0p,1z"
15832,3394, & ,,,,NE,,-11.3039,-16.716672,-49.280028,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.716672,-49.280028,-11.3039h,0p,1z"
15836,3396, & ,,,,SW,,-167.31,-16.728173,-49.281776,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.728173,-49.281776,-167.31h,0p,1z"
15840,3398, & ,,,,SE,,78.5607,-16.724071,-49.261721,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.724071,-49.261721,78.5607h,0p,1z"
15843,3398, & ,,,,SW,,-156.214,-16.724143,-49.261937,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.724143,-49.261937,-156.214h,0p,1z"
15851,3403, & ,,,,NE,,-10.5908,-16.713938,-49.290732,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.713938,-49.290732,-10.5908h,0p,1z"
15852,3403, & ,,,,SW,,169.557,-16.714243,-49.290768,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.714243,-49.290768,169.557h,0p,1z"
15853,3403, & ,,,,NW,,-100.362,-16.714094,-49.290874,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.714094,-49.290874,-100.362h,0p,1z"
