	VAN_ID	METHOD	CLIENT_COST	OPERATOR_COST	DAY
36	35	GA2	6.2632	246.93630000000002	15
0	57	CORNER	5.7735	237.5868	31
1	24	CORNER	6.4758000000000004	264.59650000000005	31
2	45	CORNER	6.7318999999999996	217.5189	31
3	42	CORNER	5.7323	256.90619999999996	31
4	34	CORNER	6.5916	282.88570000000004	31
5	50	CORNER	5.3458	249.1019	31
6	40	CORNER	6.7316	228.75369999999998	31
7	62	CORNER	7.397499999999999	280.1073	31
8	52	CORNER	6.5837	263.369	31
9	32	CORNER	6.813699999999999	243.46070000000003	31
10	29	CORNER	5.511700000000001	213.1649	31
11	53	CORNER	5.0614	229.2975	31
12	60	CORNER	7.698800000000001	283.63629999999995	31
13	63	CORNER	6.645600000000002	272.8866	31
14	33	CORNER	7.3667	262.2792	31
15	48	CORNER	6.078899999999999	267.41339999999997	31
16	30	CORNER	7.0897	260.6977	31
17	41	CORNER	7.8559	246.2695	31
18	47	CORNER	7.354800000000001	259.746	31
19	54	CORNER	7.027499999999999	255.31349999999998	31
20	61	CORNER	6.098699999999999	271.78430000000003	31
21	51	CORNER	6.1153	249.417	31
22	23	CORNER	5.785299999999999	209.67989999999998	31
23	25	CORNER	7.9152000000000005	281.34770000000003	31
24	58	CORNER	8.2366	263.8982	31
25	36	CORNER	7.2283	252.8715	31
26	28	CORNER	5.133100000000001	224.41930000000002	31
27	35	CORNER	6.5358	249.30419999999998	31
28	44	CORNER	5.9968	202.5233	31
29	31	CORNER	7.1007	272.6038000000001	31
30	43	CORNER	7.4982999999999995	260.8525	31
31	59	CORNER	5.8677	275.55089999999996	31
32	46	CORNER	3.9139999999999997	213.17110000000002	31
33	27	CORNER	6.517799999999999	250.92390000000003	31
34	26	CORNER	8.8649	285.91330000000005	31
35	55	CORNER	5.680199999999999	238.01360000000003	31
36	56	CORNER	7.0358	271.5281	31
37	38	CORNER	6.3727	242.41400000000002	31
38	49	CORNER	6.6808000000000005	271.2361	31
0	59	DOOR	0.0	277.2497	31
1	43	DOOR	0.0	267.47740000000005	31
2	48	DOOR	0.0	272.4105	31
3	50	DOOR	0.0	250.58979999999997	31
4	35	DOOR	0.0	250.7702	31
5	36	DOOR	0.0	255.05830000000003	31
6	26	DOOR	0.0	287.57160000000005	31
7	31	DOOR	0.0	277.439	31
8	25	DOOR	0.0	283.6972	31
9	46	DOOR	0.0	222.33409999999998	31
10	30	DOOR	0.0	263.6899	31
11	32	DOOR	0.0	247.11240000000004	31
12	23	DOOR	0.0	213.6228	31
13	38	DOOR	0.0	239.9053	31
14	53	DOOR	0.0	232.2981	31
15	42	DOOR	0.0	261.8392	31
16	28	DOOR	0.0	229.6152	31
17	62	DOOR	0.0	280.71139999999997	31
18	49	DOOR	0.0	272.7972	31
19	27	DOOR	0.0	249.4652	31
20	61	DOOR	0.0	273.5428	31
21	41	DOOR	0.0	250.2125	31
22	58	DOOR	0.0	264.68330000000003	31
23	29	DOOR	0.0	214.55280000000002	31
24	57	DOOR	0.0	238.4809	31
25	54	DOOR	0.0	255.1601	31
26	40	DOOR	0.0	233.4275	31
27	60	DOOR	0.0	287.6689999999999	31
28	55	DOOR	0.0	240.35229999999999	31
29	24	DOOR	0.0	273.29720000000003	31
30	34	DOOR	0.0	285.09690000000006	31
31	45	DOOR	0.0	224.49970000000002	31
32	51	DOOR	0.0	252.8072	31
33	52	DOOR	0.0	261.31530000000004	31
34	47	DOOR	0.0	260.8437	31
35	63	DOOR	0.0	275.6637	31
36	56	DOOR	0.0	266.0726	31
37	33	DOOR	0.0	264.44559999999996	31
38	44	DOOR	0.0	208.89779999999996	31
0	35	GA0	6.8267999999999995	251.9214	31
1	25	GA0	8.8169	284.94350000000003	31
2	48	GA0	5.7062	268.4803	31
3	46	GA0	4.8456	213.00370000000004	31
4	60	GA0	7.4038	289.7379	31
5	32	GA0	6.8746	247.5109	31
6	27	GA0	7.1423	247.8705	31
7	56	GA0	9.3817	271.0954	31
8	43	GA0	7.253299999999999	267.3103	31
9	31	GA0	7.232800000000001	275.9535000000001	31
10	40	GA0	6.3789	232.00190000000003	31
11	44	GA0	5.1234	210.22320000000002	31
12	61	GA0	7.147500000000001	269.8257	31
13	45	GA0	6.1994	219.06099999999998	31
14	41	GA0	5.9414	247.02410000000003	31
15	54	GA0	6.2356	257.27340000000004	31
16	57	GA0	6.640499999999999	234.928	31
17	26	GA0	8.566400000000002	288.0563000000001	31
18	33	GA0	6.0942	264.7815	31
19	58	GA0	8.3549	268.4758	31
20	47	GA0	6.2404	263.7622	31
21	34	GA0	8.2938	287.5006	31
22	52	GA0	8.591300000000002	263.95340000000004	31
23	30	GA0	6.8607000000000005	263.779	31
24	36	GA0	7.0445	253.40239999999997	31
25	51	GA0	6.4893	253.09250000000003	31
26	28	GA0	4.551300000000001	223.71420000000003	31
27	49	GA0	6.987399999999999	270.73479999999995	31
28	59	GA0	8.0005	276.7362999999999	31
29	38	GA0	6.924099999999999	239.48489999999998	31
30	53	GA0	5.972900000000001	231.42750000000004	31
31	29	GA0	5.6439	214.2326	31
32	42	GA0	6.495500000000002	260.7046	31
33	23	GA0	5.7714	213.7518	31
34	55	GA0	6.9865	239.6116	31
35	50	GA0	5.722499999999998	249.61360000000002	31
36	62	GA0	7.251600000000002	284.5367	31
37	63	GA0	8.5838	273.86910000000006	31
38	24	GA0	7.7715	267.73029999999994	31
0	58	GA1	8.8424	268.83279999999996	31
1	56	GA1	10.012599999999999	266.1303	31
2	27	GA1	7.8005	247.5863	31
3	42	GA1	7.324000000000002	259.7151	31
4	52	GA1	9.2934	263.7549	31
5	23	GA1	5.5012	209.42790000000002	31
6	51	GA1	7.479100000000001	252.9357	31
7	47	GA1	7.648899999999999	260.45059999999995	31
8	29	GA1	7.214	214.84789999999998	31
9	50	GA1	6.6049	238.3072	31
10	49	GA1	6.4577	271.51410000000004	31
11	62	GA1	8.488900000000001	279.16170000000005	31
12	24	GA1	6.080000000000001	264.8184	31
13	46	GA1	4.4193999999999996	208.66379999999995	31
14	30	GA1	6.813300000000001	267.687	31
15	40	GA1	7.5377	225.76349999999996	31
16	63	GA1	9.4015	274.61229999999995	31
17	26	GA1	8.5651	284.4667	31
18	33	GA1	6.326700000000001	263.81339999999994	31
19	54	GA1	7.509600000000001	261.1792	31
20	34	GA1	8.674100000000001	279.60179999999997	31
21	35	GA1	7.889999999999999	251.9672	31
22	36	GA1	8.5611	250.96699999999998	31
23	59	GA1	7.3934	279.2595	31
24	32	GA1	6.3895	242.96469999999997	31
25	55	GA1	6.975499999999999	239.9818	31
26	60	GA1	7.524699999999998	288.4767	31
27	61	GA1	6.6762	272.24139999999994	31
28	57	GA1	6.4985	236.2607	31
29	53	GA1	5.9242	229.83929999999998	31
30	45	GA1	7.246700000000001	221.8429	31
31	25	GA1	10.292100000000001	283.74980000000005	31
32	43	GA1	7.9277	271.6069	31
33	41	GA1	7.1012	250.0007	31
34	44	GA1	6.4011	209.31219999999996	31
35	38	GA1	7.0571	244.5845	31
36	48	GA1	8.1472	270.47860000000003	31
37	31	GA1	7.539000000000001	280.5497	31
38	28	GA1	5.484100000000001	229.22719999999998	31
0	51	GA2	6.3959	254.66500000000002	31
1	31	GA2	7.763100000000001	275.59830000000005	31
2	61	GA2	7.4041999999999994	273.6450000000001	31
3	48	GA2	6.875	272.60810000000004	31
4	44	GA2	5.7014000000000005	209.29070000000002	31
5	34	GA2	8.5278	284.3964000000001	31
6	40	GA2	7.421900000000001	229.51129999999995	31
7	56	GA2	9.1305	270.8968	31
8	57	GA2	6.1358999999999995	234.4906	31
9	52	GA2	8.464400000000003	258.3868	31
10	49	GA2	7.1265	275.63739999999996	31
11	46	GA2	4.7896	213.0889	31
12	53	GA2	6.5078999999999985	229.13309999999998	31
13	59	GA2	8.9315	272.28249999999997	31
14	25	GA2	9.115	282.7954000000001	31
15	58	GA2	8.0757	269.2917	31
16	33	GA2	6.3797	264.0191	31
17	60	GA2	9.688200000000002	287.62859999999995	31
18	41	GA2	7.0307	247.41749999999996	31
19	30	GA2	7.415000000000001	265.97310000000004	31
20	27	GA2	6.918700000000001	255.99689999999998	31
21	42	GA2	6.5117	262.35200000000003	31
22	62	GA2	7.629300000000001	277.032	31
