	VAN_ID	METHOD	CLIENT_COST	OPERATOR_COST
23	32	GA1	5.5634999999999994	228.8574
24	55	GA1	8.328199999999999	258.06050000000005
25	60	GA1	5.6565	221.80229999999997
26	61	GA1	5.8152	236.6693
27	57	GA1	3.1279	122.13889999999999
28	45	GA1	7.720799999999999	238.8312
29	53	GA1	5.5806	241.28320000000002
30	25	GA1	8.1669	251.58039999999997
31	43	GA1	6.3429	238.39700000000002
32	38	GA1	5.6771	260.02739999999994
33	44	GA1	5.6709000000000005	237.6165
34	48	GA1	7.542999999999999	231.9716
35	31	GA1	5.3012999999999995	225.0569
36	28	GA1	6.989	248.91959999999997
0	51	GA2	7.855700000000001	246.60330000000002
1	31	GA2	7.5561	225.00279999999998
2	61	GA2	5.961099999999999	238.1301
3	48	GA2	7.3608	220.0783
4	44	GA2	5.0448	241.1887
5	40	GA2	6.7337	225.62079999999997
6	34	GA2	5.734	215.53520000000003
7	56	GA2	7.4858	250.431
8	57	GA2	3.6517000000000004	124.6035
9	52	GA2	6.6046	246.28549999999996
10	46	GA2	6.2143999999999995	254.2821
11	49	GA2	7.0615000000000006	250.4535
12	53	GA2	5.4294	236.11709999999994
13	59	GA2	4.8246	232.62059999999997
14	25	GA2	8.043700000000001	253.2714
15	58	GA2	8.0493	268.37669999999997
16	33	GA2	6.069600000000001	250.78860000000003
17	60	GA2	4.988	225.0171
18	27	GA2	6.8857	235.9185
19	30	GA2	8.632199999999997	265.6015
20	42	GA2	5.9536	277.4389
21	62	GA2	6.431	224.62779999999998
22	55	GA2	7.6071	266.0783
23	28	GA2	6.631099999999999	249.1482
24	50	GA2	3.9747	166.398
25	26	GA2	5.8027	211.298
26	23	GA2	5.9218	228.14779999999996
27	47	GA2	5.7895	259.7456
28	29	GA2	7.4201	209.71240000000003
29	24	GA2	6.168400000000001	234.4572
30	43	GA2	6.2174000000000005	240.01239999999999
31	54	GA2	6.2782	252.669
32	36	GA2	7.197	241.1817
33	32	GA2	6.444400000000001	231.91880000000003
34	45	GA2	6.3925	237.81539999999998
35	38	GA2	6.227399999999999	260.3971
36	35	GA2	6.2632	246.93630000000002
